activity_row_count,aggressive_buy_fills,aggressive_buy_qty,aggressive_sell_fills,aggressive_sell_qty,aggressive_take_threshold,annualized_sharpe,average_position,calmar_ratio,center_widening_ticks,daily_osmium_pnl_json,daily_pnl_json,daily_pnl_mean,daily_pnl_min,daily_pnl_std,daily_product_pnl_json,day_count,fill_count,filled_quantity,final_pnl,inventory_turnover,log_path,max_abs_position,max_drawdown_abs,max_drawdown_pct,near_limit_fraction,osmium_total_pnl,passive_ask_fills,passive_ask_qty,passive_bid_fills,passive_bid_qty,reservation_deviation_skew,returncode,robust_score,run_id,runtime_sec,sandbox_entry_count,sharpe_ratio,sortino_ratio,stage,status,stderr_path,stdout_path,stdout_total_profit,total_pnl
60000,526,2920,471,2789,2.5,178.8051,50.076366666666665,0.0161,2,"{""-2"": 8591.0, ""-1"": 9311.0, ""0"": 7791.0}","{""-2"": 8591.0, ""-1"": 9311.0, ""0"": 7791.0}",8564.333333333334,7791.0,620.8238254305502,"{""-2"": {""ASH_COATED_OSMIUM"": 8591.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9311.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7791.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1684,8793,25693,4393.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0001.log,160,1598603,2.9892,0.40386666666666665,25693.0,353,1613,334,1471,0.6,0,8253.921420618059,1,5.517,30000,11.2637,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0001.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0001.stdout.txt,25693,25693.0
60000,515,2893,462,2736,3,202.765,50.056533333333334,0.0163,2,"{""-2"": 8727.0, ""-1"": 9313.0, ""0"": 7960.0}","{""-2"": 8727.0, ""-1"": 9313.0, ""0"": 7960.0}",8666.666666666666,7960.0,554.0050140166202,"{""-2"": {""ASH_COATED_OSMIUM"": 8727.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9313.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7960.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1671,8751,26000,4372.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0002.log,160,1598585,2.9892,0.3988333333333333,26000.0,360,1645,334,1477,0.6,0,8389.664159658356,2,5.408,30000,12.773,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0002.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0002.stdout.txt,26000,26000.0
60000,496,2796,437,2611,3.5,192.8638,48.6236,0.0162,2,"{""-2"": 8704.0, ""-1"": 9296.0, ""0"": 7882.0}","{""-2"": 8704.0, ""-1"": 9296.0, ""0"": 7882.0}",8627.333333333334,7882.0,579.8030316888276,"{""-2"": {""ASH_COATED_OSMIUM"": 8704.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9296.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7882.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1620,8514,25882,4254.0,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0003.log,160,1598585,2.8889,0.3998,25882.0,359,1654,328,1453,0.6,0,8337.43181748892,3,6.046,30000,12.1493,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0003.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0003.stdout.txt,25882,25882.0
60000,457,2591,401,2403,4,175.3132,49.66603333333333,0.0164,2,"{""-2"": 8782.0, ""-1"": 9485.0, ""0"": 7908.0}","{""-2"": 8782.0, ""-1"": 9485.0, ""0"": 7908.0}",8725.0,7908.0,645.0679550765692,"{""-2"": {""ASH_COATED_OSMIUM"": 8782.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9485.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7908.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1550,8118,26175,4056.0,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0004.log,160,1598600,2.8889,0.4059,26175.0,360,1662,332,1462,0.6,0,8402.466022461715,4,5.638,30000,11.0437,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0004.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0004.stdout.txt,26175,26175.0
60000,414,2386,364,2200,4.5,206.1604,49.48323333333333,0.0166,2,"{""-2"": 8855.0, ""-1"": 9512.0, ""0"": 8151.0}","{""-2"": 8855.0, ""-1"": 9512.0, ""0"": 8151.0}",8839.333333333334,8151.0,555.7363483603433,"{""-2"": {""ASH_COATED_OSMIUM"": 8855.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9512.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 8151.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1466,7707,26518,3850.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0005.log,160,1598541,2.8889,0.404,26518.0,355,1660,333,1461,0.6,0,8561.465159153162,5,5.706,30000,12.9869,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0005.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0005.stdout.txt,26518,26518.0
60000,369,2149,317,1922,5,196.2846,49.24863333333333,0.0166,2,"{""-2"": 8854.0, ""-1"": 9527.0, ""0"": 8100.0}","{""-2"": 8854.0, ""-1"": 9527.0, ""0"": 8100.0}",8827.0,8100.0,582.88306431622,"{""-2"": {""ASH_COATED_OSMIUM"": 8854.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9527.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 8100.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1372,7163,26481,3578.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0006.log,158,1598540,2.9697,0.4049333333333333,26481.0,362,1667,324,1425,0.6,0,8535.558467841889,6,5.704,30000,12.3648,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0006.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0006.stdout.txt,26481,26481.0
60000,512,2863,465,2768,2.5,208.7778,48.86513333333333,0.0158,3,"{""-2"": 8097.0, ""-1"": 9186.0, ""0"": 8052.0}","{""-2"": 8097.0, ""-1"": 9186.0, ""0"": 8052.0}",8445.0,8052.0,524.2880887451097,"{""-2"": {""ASH_COATED_OSMIUM"": 8097.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9186.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 8052.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1574,8359,25335,4176.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0007.log,160,1598578,2.798,0.3971,25335.0,306,1419,291,1309,0.6,0,8182.855955627445,7,5.51,30000,13.1518,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0007.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0007.stdout.txt,25335,25335.0
60000,500,2800,455,2714,3,223.9989,49.042833333333334,0.016,3,"{""-2"": 8209.0, ""-1"": 9222.0, ""0"": 8145.0}","{""-2"": 8209.0, ""-1"": 9222.0, ""0"": 8145.0}",8525.333333333334,8145.0,493.31013458968073,"{""-2"": {""ASH_COATED_OSMIUM"": 8209.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9222.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 8145.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1553,8245,25576,4119.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0008.log,159,1598566,2.798,0.3977,25576.0,306,1416,292,1315,0.6,0,8278.678266038494,8,5.619,30000,14.1106,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0008.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0008.stdout.txt,25576,25576.0
60000,478,2703,431,2584,3.5,192.5989,49.31706666666667,0.0159,3,"{""-2"": 8153.0, ""-1"": 9272.0, ""0"": 7989.0}","{""-2"": 8153.0, ""-1"": 9272.0, ""0"": 7989.0}",8471.333333333334,7989.0,570.1019402021205,"{""-2"": {""ASH_COATED_OSMIUM"": 8153.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9272.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7989.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1508,8023,25414,4008.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0009.log,160,1598570,2.7037,0.4035,25414.0,308,1435,291,1301,0.6,0,8186.282363232273,9,5.584,30000,12.1326,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0009.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0009.stdout.txt,25414,25414.0
60000,447,2575,400,2417,4,180.4119,49.2394,0.0159,3,"{""-2"": 8135.0, ""-1"": 9305.0, ""0"": 7924.0}","{""-2"": 8135.0, ""-1"": 9305.0, ""0"": 7924.0}",8454.666666666666,7924.0,607.4154719428503,"{""-2"": {""ASH_COATED_OSMIUM"": 8135.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""-1"": {""ASH_COATED_OSMIUM"": 9305.0, ""INTARIAN_PEPPER_ROOT"": 0.0}, ""0"": {""ASH_COATED_OSMIUM"": 7924.0, ""INTARIAN_PEPPER_ROOT"": 0.0}}",3,1439,7715,25364,3854.5,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0010.log,160,1598588,2.7037,0.4015666666666667,25364.0,309,1448,283,1275,0.6,0,8150.958930695241,10,5.596,30000,11.3649,inf,grid,ok,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0010.stderr.txt,C:\IMC PROSPERITY 4\reports\osmium_tuning\run_logs\run_0010.stdout.txt,25364,25364.0
